종목,현재가,거래량
이아이디,"3,410","160,583,831"
KODEX 200선물인버스2X,"2,635","111,990,624"
한국ANKOR유전,508,"96,970,471"
KODEX 코스닥150선물인버스,"4,040","68,344,682"
퍼스텍,"4,650","56,845,372"
삼성 인버스 2X WTI원유 선물 ETN,130,"34,487,912"
광명전기,"3,090","33,849,472"
현대로템,"31,700","30,500,380"
신한 인버스 2X WTI원유 선물 ETN(H),115,"25,758,969"
대한전선,"1,661","23,946,798"
케이비아이동국실업,894,"20,143,739"
KODEX 인버스,"4,575","19,768,339"
KODEX 코스닥150레버리지,"11,210","15,487,507"
조일알미늄,"3,650","15,069,206"
신성이엔지,"2,070","14,244,522"
STX,"8,340","13,648,904"
대한제당,"3,060","12,314,817"
KODEX 레버리지,"16,375","11,628,371"
쌍방울,272,"10,305,959"
다이나믹디자인,"9,490","10,217,561"
이수화학,"49,700","10,192,213"
KODEX 코스닥150,"13,285","9,933,295"
삼성전자,"65,300","9,469,106"
고려산업,"4,100","9,435,178"
KG스틸,"13,190","9,241,423"
두산에너빌리티,"18,370","7,644,524"
한미반도체,"21,150","7,590,269"
이구산업,"6,170","7,368,356"
DB,"2,200","6,893,407"
평화산업,"1,319","6,680,308"
에스엠벡셀,"3,220","6,321,692"
이엔플러스,"13,190","5,984,227"
와이투솔루션,"1,654","5,957,402"
태경산업,"9,080","5,864,155"
대성에너지,"9,070","5,682,449"
조선내화,"12,680","5,669,576"
티웨이항공,"3,650","5,498,956"
대창,"1,650","5,290,848"
삼성중공업,"5,750","5,143,070"
유니온머티리얼,"3,665","5,038,483"
삼영화학,"4,075","4,758,014"
TYM,"2,605","4,732,117"
삼성 레버리지 천연가스 선물 ETN B,"1,560","4,652,295"
한창,878,"4,650,706"
한화갤러리아,"1,876","4,542,407"
TIGER 차이나전기차SOLACTIVE,"11,320","4,398,751"
QV 인버스 레버리지 WTI원유 선물 ETN(H),105,"4,362,456"
한국항공우주,"58,200","4,171,496"
TIGER MSCI Korea TR,"14,165","4,067,176"
서울식품,218,"3,935,005"
덕양산업,"3,940","3,813,768"
그린케미칼,"11,750","3,786,019"
사조동아원,"1,049","3,641,948"
태경비케이,"8,020","3,392,940"
삼성 인버스 2X 코스닥150 선물 ETN,"9,800","3,391,426"
미래에셋 인버스 2X 코스닥150 선물 ETN,"9,785","3,383,620"
성안,"2,295","3,353,336"
KODEX 2차전지산업,"31,350","3,327,389"
에스디바이오센서,"23,250","3,076,827"
큐로,482,"3,069,704"
CJ씨푸드,"3,435","3,012,045"
한화시스템,"15,050","2,977,249"
더메디팜,669,"2,934,857"
TRUE 인버스 2X 코스닥 150 선물 ETN,"9,810","2,890,519"
KG케미칼,"62,300","2,860,305"
형지엘리트,"1,316","2,641,199"
TIGER 단기채권액티브,"51,850","2,538,811"
대원전선,"1,282","2,508,872"
카프로,852,"2,484,262"
삼성제약,"3,120","2,421,137"
KEC,"2,305","2,389,116"
KBSTAR 단기통안채,"107,565","2,388,349"
백광산업,"6,100","2,361,946"
후성,"14,300","2,357,078"
신송홀딩스,"7,810","2,326,779"
이수페타시스,"9,010","2,319,066"
에어부산,"4,140","2,304,930"
아센디오,740,"2,225,450"
HMM,"21,850","2,217,236"
팬오션,"6,130","2,204,501"
한농화성,"20,150","2,193,659"
남선알미늄,"2,410","2,165,519"
TIGER 200선물인버스2X,"2,775","2,151,850"
알루코,"3,360","2,138,301"
일진전기,"7,690","2,092,992"
TIGER 2차전지테마,"32,255","2,083,700"
티웨이홀딩스,709,"2,078,484"
SK증권,706,"2,073,433"
유니온,"7,000","2,013,528"
KODEX 200,"33,750","1,983,160"
우리금융지주,"11,760","1,976,781"
휴스틸,"6,980","1,960,529"
현대두산인프라코어,"8,780","1,954,127"
KODEX 미국채울트라30년선물(H),"8,960","1,931,636"
KC코트렐,"2,700","1,867,806"
태양금속,"2,060","1,854,451"
금양,"68,200","1,847,359"
에이프로젠바이오로직스,388,"1,845,983"
SH에너지화학,827,"1,815,913"
히어로즈 단기채권ESG액티브,"102,140","1,780,755"
